-5.12	-5.11	0.0	-0.0001607969987448988
-5.11	-5.1000000000000005	-0.0001607969987448988	-0.00028626489195650306
-5.1000000000000005	-5.09	-0.00028626489195650306	-0.0003841344653504556
-5.09	-5.08	-0.0003841344653504556	-0.0004678866417735031
-5.08	-5.07	-0.0004678866417735031	-0.0005514389972854517
-5.07	-5.0600000000000005	-0.0005514389972854517	-0.0006444576724432462
-5.0600000000000005	-5.05	-0.0006444576724432462	-0.0007500145698828547
-5.05	-5.04	-0.0007500145698828547	-0.0008653873759426013
-5.04	-5.03	-0.0008653873759426013	-0.0009855776180554754
-5.03	-5.0200000000000005	-0.0009855776180554754	-0.0011080455797773357
-5.0200000000000005	-5.01	-0.0011080455797773357	-0.0012366303955400155
-5.01	-5.0	-0.0012366303955400155	-0.00138284824212569
-5.0	-4.99	-0.00138284824212569	-0.0015636809469617083
-4.99	-4.98	-0.0015636809469617083	-0.0017962680307277738
-4.98	-4.97	-0.0017962680307277738	-0.002091137279789705
-4.97	-4.96	-0.002091137279789705	-0.002446306871305889
-4.96	-4.95	-0.002446306871305889	-0.002844493290974506
-4.95	-4.94	-0.002844493290974506	-0.0032547645647336186
-4.94	-4.93	-0.0032547645647336186	-0.0036385677625432504
-4.93	-4.92	-0.0036385677625432504	-0.00395860097538719
-4.92	-4.91	-0.00395860097538719	-0.004187989610539163
-4.91	-4.9	-0.004187989610539163	-0.004317019508312936
-4.9	-4.89	-0.004317019508312936	-0.004355363728138188
-4.89	-4.88	-0.004355363728138188	-0.004329104942995931
-4.88	-4.87	-0.004329104942995931	-0.0042734594888407425
-4.87	-4.86	-0.0042734594888407425	-0.004223427784535198
-4.86	-4.85	-0.004223427784535198	-0.004205198521977575
-4.85	-4.84	-0.004205198521977575	-0.00423082876604057
-4.84	-4.83	-0.00423082876604057	-0.004297618845906854
-4.83	-4.82	-0.004297618845906854	-0.004392072242635682
-4.82	-4.8100000000000005	-0.004392072242635682	-0.0044968840565512164
-4.8100000000000005	-4.8	-0.0044968840565512164	-0.004598507609790754
-4.8	-4.79	-0.004598507609790754	-0.004692784034260699
-4.79	-4.78	-0.004692784034260699	-0.004786878552127727
-4.78	-4.7700000000000005	-0.004786878552127727	-0.004897069936967546
-4.7700000000000005	-4.76	-0.004897069936967546	-0.005043334029107153
-4.76	-4.75	-0.005043334029107153	-0.0052426805232984085
-4.75	-4.74	-0.0052426805232984085	-0.00550352006827697
-4.74	-4.73	-0.00550352006827697	-0.005822880018842916
-4.73	-4.72	-0.005822880018842916	-0.006187241806682395
-4.72	-4.71	-0.006187241806682395	-0.006576522284421036
-4.71	-4.7	-0.006576522284421036	-0.006969700852057508
-4.7	-4.69	-0.006969700852057508	-0.007350141081733202
-4.69	-4.68	-0.007350141081733202	-0.007708896581207186
-4.68	-4.67	-0.007708896581207186	-0.008045106173697405
-4.67	-4.66	-0.008045106173697405	-0.008363658308262316
-4.66	-4.65	-0.008363658308262316	-0.008671247159261526
-4.65	-4.640000000000001	-0.008671247159261526	-0.008972425502676868
-4.640000000000001	-4.63	-0.008972425502676868	-0.009267132538827464
-4.63	-4.62	-0.009267132538827464	-0.009550513740181376
-4.62	-4.61	-0.009550513740181376	-0.009814920291979149
-4.61	-4.6	-0.009814920291979149	-0.010053132099046347
-4.6	-4.59	-0.010053132099046347	-0.010261402636615916
-4.59	-4.58	-0.010261402636615916	-0.010441033216056427
-4.58	-4.57	-0.010441033216056427	-0.010597796558146518
-4.57	-4.5600000000000005	-0.010597796558146518	-0.01073940646476289
-4.5600000000000005	-4.55	-0.01073940646476289	-0.010872036754618616
-4.55	-4.54	-0.010872036754618616	-0.010997320527656377
-4.54	-4.53	-0.010997320527656377	-0.011111142222756477
-4.53	-4.5200000000000005	-0.011111142222756477	-0.011204903110852114
-4.5200000000000005	-4.51	-0.011204903110852114	-0.011269018824665352
-4.51	-4.5	-0.011269018824665352	-0.01129752819792048
-4.5	-4.49	-0.01129752819792048	-0.011292179808950753
-4.49	-4.48	-0.011292179808950753	-0.011264414849358799
-4.48	-4.47	-0.011264414849358799	-0.011234284142113363
-4.47	-4.46	-0.011234284142113363	-0.011226325901702632
-4.46	-4.45	-0.011226325901702632	-0.011263459599525218
-4.45	-4.44	-0.011263459599525218	-0.011360671288265935
-4.44	-4.43	-0.011360671288265935	-0.011520428194815219
-4.43	-4.42	-0.011520428194815219	-0.011731301053801215
-4.42	-4.41	-0.011731301053801215	-0.011970332984483145
-4.41	-4.4	-0.011970332984483145	-0.012208572598907636
-4.4	-4.390000000000001	-0.012208572598907636	-0.012418242536397815
-4.390000000000001	-4.38	-0.012418242536397815	-0.012579538606139515
-4.38	-4.37	-0.012579538606139515	-0.012685189972437408
-4.37	-4.36	-0.012685189972437408	-0.012741601632153599
-4.36	-4.35	-0.012741601632153599	-0.012766418596013383
-4.35	-4.34	-0.012766418596013383	-0.012783375010780737
-4.34	-4.33	-0.012783375010780737	-0.012816011653385405
-4.33	-4.32	-0.012816011653385405	-0.012882061701436295
-4.32	-4.3100000000000005	-0.012882061701436295	-0.012989983250242983
-4.3100000000000005	-4.3	-0.012989983250242983	-0.013138389873799922
-4.3	-4.29	-0.013138389873799922	-0.013318243720403238
-4.29	-4.28	-0.013318243720403238	-0.013516904479231014
-4.28	-4.2700000000000005	-0.013516904479231014	-0.013722689159298359
-4.2700000000000005	-4.26	-0.013722689159298359	-0.013928589264555018
-4.26	-4.25	-0.013928589264555018	-0.014134172707677434
-4.25	-4.24	-0.014134172707677434	-0.014345315292972415
