      0             0.0000
      1             1.0000
      2             3.0000
      3             7.0000
      4            15.0000
      5            31.0000
      6            63.0000
      7           127.0000
      8           202.5360
      9           277.4750
     10           351.6344
     11           424.9740
     12           497.4544
     13           569.0359
     14           639.6783
     15           709.3410
     16           777.9833
     17           845.5645
     18           912.0441
     19           977.3819
     20          1041.5386
     21          1104.4752
     22          1166.1543
     23          1226.5393
     24          1285.5955
     25          1343.2899
     26          1399.5916
     27          1454.4717
     28          1507.9044
     29          1559.8662
     30          1610.3370
     31          1659.2997
     32          1706.7407
     33          1752.6500
     34          1797.0212
     35          1839.8519
     36          1881.1433
     37          1920.9009
     38          1959.1336
     39          1995.8546
     40          2031.0804
     41          2064.8315
     42          2097.1316
     43          2128.0078
     44          2157.4902
     45          2185.6118
     46          2212.4079
     47          2237.9162
     48          2262.1766
     49          2285.2302
     50          2307.1198
