      0             0.0000
      1             1.0000
     19        524287.0000
     20       1048575.0000
     21       2048575.0000
     22       3048575.0000
     23       4048575.0000
     24       5048575.0000
     25       6048575.0000
     26       7048575.0000
     27       8048575.0000
     28       9048575.0000
     29      10048575.0000
     30      11048575.0000
     31      12048575.0000
     32      13048575.0000
     33      14048575.0000
     34      15048575.0000
     35      16048575.0000
     36      17048575.0000
