      0             0.0000
      1             1.0000
      2             3.0000
      3             7.0000
      4            15.0000
      5            31.0000
      6            63.0000
      7           127.0000
      8           255.0000
      9           511.0000
     10          1023.0000
     11          2047.0000
     12          4095.0000
     13          6599.7159
     14          9107.9880
     15         11620.1805
     16         14136.5946
     17         16657.4918
     18         19183.1079
     19         21713.6614
     20         24249.3596
     21         26790.4030
     22         29336.9885
     23         31889.3117
     24         34447.5690
     25         37011.9597
     26         39582.6871
     27         42159.9606
     28         44743.9963
     29         47335.0194
     30         49933.2645
     31         52538.9780
     32         55152.4192
     33         57773.8619
     34         60403.5961
     35         63041.9301
     36         65689.1923
     37         68345.7335
     38         71011.9294
     39         73688.1833
     40         76374.9291
     41         79072.6344
     42         81781.8047
     43         84502.9873
     44         87236.7761
     45         89983.8170
     46         92744.8139
     47         95520.5354
     48         98311.8228
     49        101119.5991
     50        103944.8791
