     38          7864.5343    -0.83742E+01     0.12164E-04     0.58580E+00     0.46854E+02     0.46835E+02     0.64855E-07     0.11551E+03   0          1.2105
     39          7972.7769    -0.83392E+01     0.12639E-04     0.58713E+00     0.46749E+02     0.46728E+02     0.59616E-07     0.10824E+03   0          1.2423
     40          8074.1301    -0.83037E+01     0.13122E-04     0.58847E+00     0.46645E+02     0.46621E+02     0.54713E-07     0.10135E+03   0          1.2788
     41          8168.9637    -0.82677E+01     0.13612E-04     0.58981E+00     0.46540E+02     0.46514E+02     0.50124E-07     0.94834E+02   0          1.3110
     42          8257.6377    -0.82312E+01     0.14110E-04     0.59116E+00     0.46436E+02     0.46407E+02     0.45831E-07     0.88674E+02   0          1.3393
     43          8340.5009    -0.81943E+01     0.14617E-04     0.59252E+00     0.46331E+02     0.46300E+02     0.41816E-07     0.82863E+02   0          1.3689
     44          8417.8901    -0.81569E+01     0.15132E-04     0.59389E+00     0.46227E+02     0.46193E+02     0.38060E-07     0.77389E+02   0          1.3986
     45          8490.1295    -0.81191E+01     0.15656E-04     0.59526E+00     0.46123E+02     0.46086E+02     0.34547E-07     0.72239E+02   0          1.4272
     46          8557.5299    -0.80809E+01     0.16189E-04     0.59664E+00     0.46020E+02     0.45978E+02     0.31262E-07     0.67400E+02   0          1.4567
     47          8620.3889    -0.80423E+01     0.16733E-04     0.59803E+00     0.45916E+02     0.45871E+02     0.28189E-07     0.62859E+02   0          1.4838
     48          8678.9903    -0.80033E+01     0.17286E-04     0.59942E+00     0.45813E+02     0.45764E+02     0.25315E-07     0.58601E+02   0          1.5139
     49          8733.6043    -0.79640E+01     0.17851E-04     0.60082E+00     0.45710E+02     0.45657E+02     0.22626E-07     0.54614E+02   0          1.5425
     50          8784.4877    -0.79243E+01     0.18427E-04     0.60222E+00     0.45608E+02     0.45549E+02     0.20109E-07     0.50883E+02   0          1.5763
     51          8831.8838    -0.78843E+01     0.19014E-04     0.60363E+00     0.45505E+02     0.45442E+02     0.17753E-07     0.47396E+02   0          1.6111
     52          8876.0230    -0.78439E+01     0.19614E-04     0.60505E+00     0.45403E+02     0.45334E+02     0.15546E-07     0.44139E+02   0          1.6525
     53          8917.1230    -0.78031E+01     0.20227E-04     0.60648E+00     0.45302E+02     0.45227E+02     0.13478E-07     0.41100E+02   0          1.6844
     54          8955.3891    -0.77621E+01     0.20854E-04     0.60791E+00     0.45201E+02     0.45120E+02     0.11540E-07     0.38266E+02   0          1.7143
     55          8991.0149    -0.77207E+01     0.21495E-04     0.60934E+00     0.45100E+02     0.45012E+02     0.97205E-08     0.35626E+02   0          1.7435
